Variable;Scenario;Scenario_name;Class;UF;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;CE;0.002102777;0.002102777;0.002406894;0.002070293;0.000889848;0.003846074;0.00610626;0.008142071;0.01017807;0.012127052;0.013959138;0.015641039
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;RN;0.001261556;0.001261556;0.001129713;0.001074911;0.000917297;0.001582119;0.002238933;0.002779773;0.00332008;0.003832585;0.004310089;0.004744002
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;PB;0.003055068;0.003055068;0.002908007;0.002776545;0.002320018;0.003098063;0.003699714;0.004215182;0.004728664;0.005203753;0.005635465;0.006016256
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;PE;0.004285232;0.004285232;0.00364794;0.003295847;0.001533281;0.004122327;0.005238979;0.006548917;0.007857739;0.009100618;0.010259901;0.011314705
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;AL;0.002787687;0.002787687;0.002572545;0.002973222;0.001669654;0.00336051;0.00356398;0.00416536;0.004765134;0.005325831;0.005840734;0.006300735
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;SE;0.003881399;0.003881399;0.003672847;0.003748877;0.002617729;0.003166708;0.003018543;0.003026548;0.003031729;0.003013818;0.002976288;0.002920238
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;BA;0.037613609;0.037613609;0.032296075;0.023217053;0.017148851;0.032975941;0.034586488;0.041097457;0.04759482;0.05369949;0.059333965;0.064397964
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;MG;0.042313143;0.042313143;0.034070372;0.030746457;0.028327152;0.03601363;0.033745868;0.035166107;0.036558654;0.037666492;0.038504123;0.03906044
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;ES;0.00471791;0.00471791;0.003207271;0.002696911;0.001853366;0.003235441;0.00267794;0.002712736;0.002745107;0.002756439;0.002749307;0.002724199
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;RJ;0.004554287;0.004554287;0.00339583;0.003815749;0.0034758;0.004179223;0.003683697;0.003574627;0.003461763;0.00332309;0.003165018;0.002990978
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;SP;0.010861055;0.010861055;0.007588991;0.007716854;0.010219017;0.007488358;0.007808995;0.007075631;0.006332755;0.005545191;0.004735699;0.003920383
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;PR;0.012582293;0.012582293;0.011649014;0.011190276;0.013076252;0.010060025;0.009915062;0.008838311;0.007749059;0.006605971;0.005440606;0.004275974
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;SC;0.003810256;0.003810256;0.004004547;0.003703155;0.004151497;0.003612812;0.003704763;0.003599251;0.003489935;0.003354579;0.003199554;0.003028236
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;RS;0.001932993;0.001932993;0.001687546;0.001305249;0.00185502;0.001697601;0.001964349;0.00211978;0.002273813;0.00240982;0.002527317;0.002624378
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;MS;0.020969046;0.020969046;0.020671672;0.018163024;0.027346826;0.019176636;0.020289445;0.01895419;0.017595888;0.016110096;0.014545533;0.012934016
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;MT;0.021105508;0.021105508;0.029368851;0.025862112;0.034248787;0.03022356;0.030733141;0.03060096;0.030439393;0.030046986;0.029462995;0.028702374
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;GO;0.026166576;0.026166576;0.024980427;0.023026143;0.029597607;0.029784515;0.03112595;0.032561754;0.033972385;0.035117899;0.036009374;0.036634353
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;DF;8.0334E-05;8.0334E-05;6.26851E-05;5.36585E-05;8.76902E-05;9.76559E-05;0.000101234;0.000111606;0.000121912;0.000131243;0.000139529;0.00014663
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;RO;0.00434621;0.00434621;0.003968667;0.006030534;0.003971584;0.006197936;0.00779886;0.000987725;0.000987725;0.000987725;0.000987725;0.000987725
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;AC;0.000166341;0.000166341;0.000163194;0.000179148;0.00011364;0.000158228;0.000240794;2.57404E-05;2.57404E-05;2.57404E-05;2.57404E-05;2.57404E-05
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;AM;0.000684707;0.000684707;0.000686089;0.000811692;0.000760406;0.000826533;0.001648779;0.000138613;0.000138613;0.000138613;0.000138613;0.000138613
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;RR;0.000351913;0.000351913;0.000417704;0.000366326;0.000596713;0.000362872;0.001002721;6.70245E-05;6.70245E-05;6.70245E-05;6.70245E-05;6.70245E-05
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;PA;0.012561589;0.012561589;0.012826859;0.013283634;0.013087514;0.01029342;0.016455366;0.001862289;0.001862289;0.001862289;0.001862289;0.001862289
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;AP;7.15193E-05;7.15193E-05;6.76056E-05;6.05081E-05;5.06724E-05;4.19922E-05;0.000106122;7.67575E-06;7.67575E-06;7.67575E-06;7.67575E-06;7.67575E-06
